,reaction_id,rxn_smiles,products_run,l
2186,244c06c0151311ea81f9b7db9d39a498,[Br:1][Br:2].[OH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[F:10]>>[Br:2][c:5]1[c:4]([OH:3])[c:9]([F:10])[cH:8][cH:7][cH:6]1,[Br:1][c:5]1[c:4]([OH:3])[c:9]([F:10])[cH:8][cH:7][cH:6]1.[Br:1][c:6]1[cH:5][c:4]([OH:3])[c:9]([F:10])[cH:8][cH:7]1.[Br:1][c:7]1[cH:6][cH:5][c:4]([OH:3])[c:9]([F:10])[cH:8]1.[Br:1][c:8]1[cH:7][cH:6][cH:5][c:4]([OH:3])[c:9]1[F:10],120
3015,2182e760151311ea81f9b7db9d39a498,[F:1][F:2].[NH2:3][c:4]1[cH:5][cH:6][nH:7][c:8](=[O:9])[n:10]1>>[F:2][c:5]1[c:4]([NH2:3])[n:10][c:8](=[O:9])[nH:7][cH:6]1,[F:1][c:5]1[c:4]([NH2:3])[n:10][c:8](=[O:9])[nH:7][cH:6]1.[F:1][c:6]1[cH:5][c:4]([NH2:3])[n:10][c:8](=[O:9])[nH:7]1,121
2183,244c054e151311ea81f9b7db9d39a498,[Br:1][Br:2].[CH3:3][c:4]1[cH:5][cH:6][c:7]([OH:8])[n:9][cH:10]1>>[Br:2][c:6]1[cH:5][c:4]([CH3:3])[cH:10][n:9][c:7]1[OH:8],[Br:1][c:6]1[cH:5][c:4]([CH3:3])[cH:10][n:9][c:7]1[OH:8].[Br:1][c:5]1[c:4]([CH3:3])[cH:10][n:9][c:7]([OH:8])[cH:6]1.[Br:1][c:10]1[c:4]([CH3:3])[cH:5][cH:6][c:7]([OH:8])[n:9]1,122
2989,ed646c82151311ea81f9b7db9d39a498,[Br:1][Br:2].[CH3:3][c:4]1[cH:5][cH:6][nH:7][c:8](=[O:9])[n:10]1>>[Br:2][c:5]1[c:4]([CH3:3])[n:10][c:8](=[O:9])[nH:7][cH:6]1,[Br:1][c:5]1[c:4]([CH3:3])[n:10][c:8](=[O:9])[nH:7][cH:6]1.[Br:1][c:6]1[cH:5][c:4]([CH3:3])[n:10][c:8](=[O:9])[nH:7]1,124
2802,ede0d650151311ea81f9b7db9d39a498,[Br:1][Br:2].[NH2:3][c:4]1[n:5][cH:6][cH:7][cH:8][c:9]1[OH:10]>CCO>[Br:2][c:7]1[cH:6][n:5][c:4]([NH2:3])[c:9]([OH:10])[cH:8]1,[Br:1][c:7]1[cH:6][n:5][c:4]([NH2:3])[c:9]([OH:10])[cH:8]1.[Br:1][c:6]1[n:5][c:4]([NH2:3])[c:9]([OH:10])[cH:8][cH:7]1.[Br:1][c:8]1[cH:7][cH:6][n:5][c:4]([NH2:3])[c:9]1[OH:10],125
3017,2182e80a151311ea81f9b7db9d39a498,[F:1][F:2].[NH2:3][c:4]1[cH:5][cH:6][nH:7][c:8](=[O:9])[n:10]1>O=CO>[F:2][c:5]1[c:4]([NH2:3])[n:10][c:8](=[O:9])[nH:7][cH:6]1,[F:1][c:5]1[c:4]([NH2:3])[n:10][c:8](=[O:9])[nH:7][cH:6]1.[F:1][c:6]1[cH:5][c:4]([NH2:3])[n:10][c:8](=[O:9])[nH:7]1,125
3216,59b06fae151311ea81f9b7db9d39a498,[CH3:1][c:2]1[cH:3][cH:4][c:5]([F:6])[n:7][cH:8]1.[I:9][I:10]>C1CCOC1>[CH3:1][c:2]1[cH:3][c:4]([I:10])[c:5]([F:6])[n:7][cH:8]1,[CH3:1][c:2]1[cH:3][c:4]([I:9])[c:5]([F:6])[n:7][cH:8]1.[CH3:1][c:2]1[c:3]([I:9])[cH:4][c:5]([F:6])[n:7][cH:8]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([F:6])[n:7][c:8]1[I:9],126
2990,ed6782e6151311ea81f9b7db9d39a498,[Br:1][Br:2].[OH:3][c:4]1[cH:5][cH:6][c:7]([F:8])[cH:9][cH:10]1>ClCCl>[Br:2][c:5]1[c:4]([OH:3])[cH:10][cH:9][c:7]([F:8])[cH:6]1,[Br:1][c:5]1[c:4]([OH:3])[cH:10][cH:9][c:7]([F:8])[cH:6]1.[Br:1][c:6]1[cH:5][c:4]([OH:3])[cH:10][cH:9][c:7]1[F:8],127
2556,9db3211a151311ea81f9b7db9d39a498,[Br:1][Br:2].[OH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[F:10]>CC(=O)O>[Br:2][c:7]1[cH:6][cH:5][c:4]([OH:3])[c:9]([F:10])[cH:8]1,[Br:1][c:7]1[cH:6][cH:5][c:4]([OH:3])[c:9]([F:10])[cH:8]1.[Br:1][c:5]1[c:4]([OH:3])[c:9]([F:10])[cH:8][cH:7][cH:6]1.[Br:1][c:6]1[cH:5][c:4]([OH:3])[c:9]([F:10])[cH:8][cH:7]1.[Br:1][c:8]1[cH:7][cH:6][cH:5][c:4]([OH:3])[c:9]1[F:10],127
2369,d4f13e8c151311ea81f9b7db9d39a498,[Br:1][Br:2].[OH:3][c:4]1[cH:5][cH:6][c:7]([Cl:8])[cH:9][n:10]1>CC(=O)O>[Br:2][c:5]1[c:4]([OH:3])[n:10][cH:9][c:7]([Cl:8])[cH:6]1,[Br:1][c:5]1[c:4]([OH:3])[n:10][cH:9][c:7]([Cl:8])[cH:6]1.[Br:1][c:6]1[cH:5][c:4]([OH:3])[n:10][cH:9][c:7]1[Cl:8].[Br:1][c:9]1[c:7]([Cl:8])[cH:6][cH:5][c:4]([OH:3])[n:10]1,129
